"Product","Product Description","Product Type","Product Category"
Cylinder Assembly-1903902695,"220 LO CL ASSLY",Assembly,Cylinder Assembly
Cylinder-C9120829,M CL,Production,Cylinder
Pix Head-1904092502,"6064 PIX",Production,Pix Head
Cylinder-1903040814,"8"" CL",Labour,Cylinder
Cylinder-1901060311,"145 HN CL",Production,Cylinder
Cylinder-1901059748,"580 CL",Production,Cylinder
Spacer-1830085751,SPACER,Production,Spacer
Nut-711289364,LIFT ROD NUT ASSLY,Assembly,Nut
Sprocket-3THM0011226,"40T SPKT S",Production,Sprocket
Cylinder-017285370,"6"" CL",Production,Cylinder
Cylinder-017285354,"24"" CL",Production,Cylinder
Cylinder-017285347,"14.5"" CL",Production,Cylinder
Frame-89914007986001,GTDE1 ENCLOSURE,Labour,Frame
Cylinder-017285362,"9"" CL",Production,Cylinder
Cylinder-0FIN21455,"6.5"" CL",Production,Cylinder
Frame Assembly-45422196-BA FRM,OKST LES,Assembly,Frame Assembly
Manifold-047710585001,MANIFOLD,Production,Manifold
Cylinder-039892757,AL ADPT CL M,Production,Cylinder
Cylinder-039913496,AL ADPT CL B,Production,Cylinder
Cylinder-039892740,AL ADPT CL S,Production,Cylinder
Casing-022153704001,ELITE C CASE,Production,Casing
Manifold-047724149001,MANIFOLD 15VT,Production,Manifold
Cylinder-039873377,"4"" LUB CL",Production,Cylinder
Sprocket-3THM0011229,"9T SPKT S",Production,Sprocket
Sprocket-3THM0000586,"9T SPKT D",Production,Sprocket
Sprocket-35631010001,"40T SPKT D",Production,Sprocket
Sprocket-3THM0043107,"23T SPKT",Production,Sprocket
Sprocket-3THM0043105,"11T SPKT",Production,Sprocket
Sprocket-3THM0115987,"9T 3/8 SPKT",Production,Sprocket
Sprocket-3THM0115985,"27T SPKT",Production,Sprocket
Cylinder-070411921,"16"" CL",Production,Cylinder
Cross Head-067872341,CENTAC HEAD M,Production,Cross Head
Cross Head-067872358,CENTAC HEAD B,Production,Cross Head
Cross Head-017385634,CENTAC HEAD S,Production,Cross Head
Cylinder-037677044,"20"" CL",Production,Cylinder
Sprocket-3THM0314033,"16T SPKT",Production,Sprocket
Sprocket-3THM0314717,"18T SPKT",Production,Sprocket
Sprocket-3THM0314692,"20T SPKT",Production,Sprocket
Cylinder-047782583,AL ADPT CL M,Production,Cylinder
